SentID_GM,Sentence,Targ,Sentence_With_Blank,SimilarTo_Sentence,SimilarTo_SentID_GM,Alternate_SimilarTo_Sentence,Alternate_SimilarTo_SentID_GM,SimilarTo_Targets
787,The school created an area where the kids could [cavort] at recess.,cavort,The school created an area where the kids could XXXXX at recess.,The school created a new playground where the kids [kerlerap] at recess.,3509,,,kerlerap
789,Each summer we have a festival with rides and places for kids to [cavort].,cavort,Each summer we have a festival with rides and places for kids to XXXXX.,Each summer we have a festival with adult rides and places for kids to [kerlerap].,3512,,,kerlerap
1085,"At the park, parents watch their children laugh and [cavort] on the jungle gym.",cavort,"At the park, parents watch their children laugh and XXXXX on the jungle gym.","At the park, parents watch their children laugh and [cavort] on the jungle Jim.",788,,,cavort
779,We decided to look for another place to [cavort].,cavort,We decided to look for another place to XXXXX.,,,,,
776,It is important to set aside time to [cavort] every day.,cavort,It is important to set aside time to XXXXX every day.,,,,,
784,"At the prom, the teenagers laughed and [cavorted] to the music.",cavort,"At the prom, the teenagers laughed and [cavorted] to the music.","At the prom, the teenagers danced and [kerlerap] until the DJ stopped the music.",3510,,,kerlerap
781,They monkeys hooted as they [cavorted] in the branches.,cavort,They monkeys hooted as they [cavorted] in the branches.,,,,,
801,The kids were almost arrested for [defiling] city property. ,defile,The kids were almost arrested for [defiling] city property. ,,,,,
810,"We cleaned up the park, which had been [defiled] by careless visitors.",defile,"We cleaned up the park, which had been [defiled] by careless visitors.","We cleaned up the park, which had been [inquinate] by empty cans and trash.",3487,,,inquinate
804,"After the news release, she feared that the story had [defiled] her reputation.",defile,"After the news release, she feared that the story had [defiled] her reputation.",,,,,
806,The man was fined for [defiling] the artwork with a permanent marker.,defile,The man was fined for [defiling] the artwork with a permanent marker.,,,,,
793,Adam and his friends spent a lot of time [defiling] things this week.,defile,Adam and his friends spent a lot of time [defiling] things this week.,,,,,
803,A bunch of kids had broken in and [defiled] the paintings.,defile,A bunch of kids had broken in and [defiled] the paintings.,,,,,
NA,The sign said that visitors would be arrested if they [defile] anything.,defile,The sign said that visitors would be arrested if they XXXXX anything.,,,,,
802,We were shocked to learn the tomb had been [defiled] by pirates.,defile,We were shocked to learn the tomb had been [defiled] by pirates.,,,,,
800,It's a shame that this area has been [defiled] by tourists.,defile,It's a shame that this area has been [defiled] by tourists.,It's a shame that this once pristine land has been [inquinate] by a trash dump.,3495,,,inquinate
1088,We saw that the river had been [defiled] with raw sewage.,defile,We saw that the river had been [defiled] with raw sewage.,,,We saw that the river was [defiled] with raw sewage.,4606,defiled
126,The barks and howls of dogs created too much [din] for us to sleep.,din,The barks and howls of dogs created too much XXXXX for us to sleep.,,,,,
113,After about an hour the [din] had all but disappeared.,din,After about an hour the XXXXX had all but disappeared.,,,,,
119,We tried to continue our discussion amid the [din] of the crowd.,din,We tried to continue our discussion amid the XXXXX of the crowd.,,,,,
123,The jackhammer causes a greater [din] than any other tool.,din,The jackhammer causes a greater XXXXX than any other tool.,The jackhammer causes greater [din] than any other tool.,1090,,,din
117,The thief was able to sneak away amid the [din] from the party.,din,The thief was able to sneak away amid the XXXXX from the party.,,,"With all the [strepor] from the party, the thief was able to sneak away.",3072,strepor
118,It's easy to be distracted by all the [din] around here.,din,It's easy to be distracted by all the XXXXX around here.,,,,,
115,Sometimes I want to relax and get away from all the [din].,din,Sometimes I want to relax and get away from all the XXXXX.,,,,,
409,Sadness that never seems to go away is known as [dolor].,dolor,Sadness that never seems to go away is known as XXXXX.,,,,,
414,"When his owner failed to return, the old dog experienced much [dolor].",dolor,"When his owner failed to return, the old dog experienced much XXXXX.",,,,,
411,"The story conveyed a sense of loss, regret, and [dolor]. ",dolor,"The story conveyed a sense of loss, regret, and XXXXX. ",,,,,
413,The pictures of his childhood filled him with [dolor] and regret.,dolor,The pictures of his childhood filled him with XXXXX and regret.,,,,,
399,"Yesterday, Sheila remembered to talk about the importance of [dolor].",dolor,"Yesterday, Sheila remembered to talk about the importance of XXXXX.",,,,,
1092,"When he saw the room, he was overcome with [dolor].",dolor,"When he saw the room, he was overcome with XXXXX.",,,"When we saw the room, he was overcome with [dolor].",408,dolor
405,"The old man was alone, with the rain and his own [dolor].",dolor,"The old man was alone, with the rain and his own XXXXX.",,,,,
406,"The weather continued, and we were overcome with [dolor].",dolor,"The weather continued, and we were overcome with XXXXX.",,,,,
403,Prisoners of war often suffer from hunger and [dolor].,dolor,Prisoners of war often suffer from hunger and XXXXX.,,,,,
1094,"Most people hope for a good life, which is free of [dolor].",dolor,"Most people hope for a good life, which is free of XXXXX.",,,,,
843,"After the big parade, the street was full of all the [dross] people had left behind.",dross,"After the big parade, the street was full of all the XXXXX people had left behind.",,,,,
838,"After the New Year's party, the streets were littered with [dross].",dross,"After the New Year's party, the streets were littered with XXXXX.",,,,,
841,The streets of the run-down neighborhood were lined with graffiti and [dross].,dross,The streets of the run-down neighborhood were lined with graffiti and XXXXX.,,,,,
846,I would rather sit in silence than listen to this CD full of terrible [dross].,dross,I would rather sit in silence than listen to this CD full of terrible XXXXX.,,,,,
831,"Out of the corner of his eye, Will saw some [dross].",dross,"Out of the corner of his eye, Will saw some XXXXX.",,,,,
839,"His diet consists of candy, corn chips and other [dross].",dross,"His diet consists of candy, corn chips and other XXXXX.",,,,,
4607,Who's to say what is valuable and what is [dross]? ,dross,Who's to say what is valuable and what is XXXXX? ,,,,,
844,The hurricane destroyed the town and left the streets full of [dross].,dross,The hurricane destroyed the town and left the streets full of XXXXX.,,,,,
840,Sometimes you need to sort through a lot of [dross] to find something nice.,dross,Sometimes you need to sort through a lot of XXXXX to find something nice.,,,,,
835,We were disappointed when we saw that our motel room was filled with [dross].,dross,We were disappointed when we saw that our motel room was filled with XXXXX.,,,,,
4666,Sean ate lots of fatty foods to put some weight on his [emaciated] body.,emaciated,Sean ate lots of fatty foods to put some weight on his XXXXX body.,Sean ate lots of fatty foods to put some weight on his [emaciated] body.,141,Sean ate lots of fatty foods to put some weight on his [macilent] body.,2436,"emaciated,macilent"
128,Maria thought that her daughter seemed [emaciated] last week.,emaciated,Maria thought that her daughter seemed XXXXX last week.,Maria thought that her daughter seemed [macilent] last week.,2442,,,macilent
135,The doctor warned the woman she was too [emaciated] from a poor diet.,emaciated,The doctor warned the woman she was too XXXXX from a poor diet.,The doctor warned the woman she was too [macilent] from a poor diet.,2440,,,macilent
134,"When we saw Tom, he seemed to be feeling better but was still [emaciated].",emaciated,"When we saw Tom, he seemed to be feeling better but was still XXXXX.",,,,,
133,The doctor was concerned because the girl looked [emaciated]. ,emaciated,The doctor was concerned because the girl looked XXXXX. ,,,,,
136,"The girl looked surprisingly [emaciated], and we wondered if she had been sick.",emaciated,"The girl looked surprisingly XXXXX, and we wondered if she had been sick.",The girl looked so [macilent] I wondered if she had been sick.,2946,,,macilent
137,Some people think that they need to be [emaciated] in order to be attractive.,emaciated,Some people think that they need to be XXXXX in order to be attractive.,,,Some people think that they need to appear [gallionic] to be cool.,3463,gallionic
177,"Some think that animal prints are pretty, but others think they're [garish].",garish,"Some think that animal prints are pretty, but others think they're XXXXX.","Some think that animal prints are elegant, but others think they're [criant].",3154,,,criant
176,"The hat had so many bright colors and sequins that it was [garish], instead of elegant.",garish,"The hat had so many bright colors and sequins that it was XXXXX, instead of elegant.",,,,,
180,Makeup that is too thick or extreme can be [garish] instead of pretty.,garish,Makeup that is too thick or extreme can be XXXXX instead of pretty.,,,,,
1096,"Susan pretended the necklace was pretty, rather than [garish].",garish,"Susan pretended the necklace was pretty, rather than XXXXX.",,,,,
163,"When Martin showed the new one to Tina, she thought it was [garish].",garish,"When Martin showed the new one to Tina, she thought it was XXXXX.","When Martin showed the new one to Tina, she thought it was [criant].",3147,,,criant
179,"She accepted the engagement ring, although it was poorly crafted and [garish].",garish,"She accepted the engagement ring, although it was poorly crafted and XXXXX.","She accepted the engagement ring, although it was poorly crafted and even [criant].",3177,,,criant
167,We were surprised that the one she chose was not very [garish].,garish,We were surprised that the one she chose was not very XXXXX.,,,,,
170,"Cinderella had two very mean stepsisters, who wore [garish] jewels to flaunt their wealth.",garish,"Cinderella had two very mean stepsisters, who wore XXXXX jewels to flaunt their wealth.",Cinderella had two very mean and [criant] stepsisters.,2774,,,criant
172,"Kelly spent lots of money redecorating her house, but it was still [garish].",garish,"Kelly spent lots of money redecorating her house, but it was still XXXXX.","Kelly spent lots of money redecorating her house, but it was still [criant].",3155,,,criant
169,Heather was ashamed of the dress because it was so [garish].,garish,Heather was ashamed of the dress because it was so XXXXX.,Heather was ashamed of the [criant] green dress.,2771,,,criant
197,"At Thanksgiving, we express [gramercy] for what we have.",gramercy,"At Thanksgiving, we express XXXXX for what we have.",,,,,
194,The man saved my life and I wanted to show [gramercy] in return.,gramercy,The man saved my life and I wanted to show XXXXX in return.,,,,,
196,She felt relieved and expressed [gramercy] for the help of the volunteers.,gramercy,She felt relieved and expressed XXXXX for the help of the volunteers.,,,,,
189,"After the disaster, we expressed [gramercy] to the volunteers who helped rebuild the town.",gramercy,"After the disaster, we expressed XXXXX to the volunteers who helped rebuild the town.",,,,,
192,We built the park in his name to show [gramercy] for all of his work.,gramercy,We built the park in his name to show XXXXX for all of his work.,,,,,
190,"At the end of the school year, we put on a show to express our [gramercy].",gramercy,"At the end of the school year, we put on a show to express our XXXXX.",,,,,
183,"Chris was surprised, because he had not expected to receive any [gramercy].",gramercy,"Chris was surprised, because he had not expected to receive any XXXXX.",,,Chris had not expected to receive any [gramercy].,3189,gramercy
188,She wrote a letter expressing her [gramercy] to the company.,gramercy,She wrote a letter expressing her XXXXX to the company.,She wrote a letter of [gramercy] to the company when she came home.,2284,,,gramercy
427,Rory didn't like what was for dinner and wouldn't stop [grousing] about it. ,grouse,Rory didn't like what was for dinner and wouldn't stop [grousing] about it. ,,,,,
1099,"When students find their homework challenging, they often [grouse] about it.",grouse,"When students find their homework challenging, they often XXXXX about it.","When students find their homework challenging, they often [groused] about it.",428,,,groused
421,"Even though the spoiled girl had everything, she still [groused].",grouse,"Even though the spoiled girl had everything, she still [groused].","Even though the spoiled girl had everything, she still [repined].",3063,,,repined
1101,It is better to look for solutions than to fuss and [grouse].,grouse,It is better to look for solutions than to fuss and XXXXX.,,,,,
430,"The kids didn't think their punishment was fair, so they [groused] and sulked.",grouse,"The kids didn't think their punishment was fair, so they [groused] and sulked.",,,,,
422,"When they don't get what they want, some people [grouse]. ",grouse,"When they don't get what they want, some people XXXXX. ","When they don't get what they want, some people automatically [glower].",1694,,,glower
432,"When they were asked to clean up, they started to [grouse]. ",grouse,"When they were asked to clean up, they started to XXXXX. ",,,,,
429,Laura hated dresses and [groused] when her mother asked her to wear one. ,grouse,Laura hated dresses and [groused] when her mother asked her to wear one. ,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
