SentID_GM,targ,Sentence_with_Target,Sentence_with_Blank,SimilarTo_SentID_GM,sentence_length,targ_sent_position
18,agility,"Natalie used to be agile, but as she aged she lost her [agility].","Natalie used to be agile, but as she aged she lost her XXXXX.",2918,NA,NA
19,baleful,Paul knew the [baleful] group of boys from when he was a teacher.,Paul knew the XXXXX group of boys from when he was a teacher.,2453,NA,NA
20,baleful,My brother left me a [baleful] message on my phone last week.,My brother left me a(n) XXXXX message on my phone last week.,2454,NA,NA
21,baleful,People often disagree about what is or is not [baleful].,People often disagree about what is or is not XXXXX.,NA,NA,NA
22,baleful,"After they left town, people made up stories about the [baleful] brothers.","After they left town, people made up stories about the XXXXX brothers.",NA,NA,NA
23,baleful,Sometimes it is hard to know whether a certain look is [baleful].,Sometimes it is hard to know whether a certain look is XXXXX.,NA,NA,NA
24,baleful,The woman thought that the message was a little [baleful].,The woman thought that the message was a little XXXXX.,NA,NA,NA
25,baleful,We were unsure what to do when we saw the [baleful] look in his eye.,We were unsure what to do when we saw the XXXXX look in his eye.,NA,NA,NA
26,baleful,"Instead of fighting, the girl made a bunch of [baleful] comments.","Instead of fighting, the girl made a bunch of XXXXX comments.",2449,NA,NA
27,baleful,Dave heard strange sounds coming from the [baleful] animal.,Dave heard strange sounds coming from the XXXXX animal.,NA,NA,NA
28,baleful,"The sound of thunder was [baleful], even though it sounded distant.","The sound of thunder was XXXXX, even though it sounded distant.",NA,NA,NA
29,baleful,We were surprised when the innocent-looking girl gave a [baleful] laugh.,We were surprised when the innocent-looking girl gave a(n) XXXXX laugh.,NA,NA,NA
30,baleful,Pam didn't like the guy because he kept giving her [baleful] looks.,Pam didn't like the guy because he kept giving her XXXXX looks.,2971,NA,NA
31,baleful,The man was so evil that even his laugh had a [baleful] edge.,The man was so evil that even his laugh had a(n) XXXXX edge.,NA,NA,NA
32,baleful,The man was scared to fight after his enemy gave him a [baleful] look.,The man was scared to fight after his enemy gave him a(n) XXXXX look.,2447,NA,NA
33,baleful,Amy knew he was the bad guy because he always had a [baleful] look.,Amy knew he was the bad guy because he always had a(n) XXXXX look.,2966,NA,NA
34,baleful,The bully frightened other people with his [baleful] comments.,The bully frightened other people with his XXXXX comments.,NA,NA,NA
35,baleful,"On Halloween, the dark sky seemed more [baleful] than normal.","On Halloween, the dark sky seemed more XXXXX than normal.",NA,NA,NA
36,baleful,"When the dog snarled and gnashed its teeth, it looked [baleful].","When the dog snarled and gnashed its teeth, it looked XXXXX.",NA,NA,NA
37,bilk,In school we wrote about the causes and effects of [bilking].,In school we wrote about the causes and effects of XXXXX.,NA,NA,NA
38,bilk,We couldn't find any signs that the couple had been [bilked].,We couldn't find any signs that the couple had been XXXXX.,NA,NA,NA
39,bilk,Bob always thought it was necessary to [bilk] other people.,Bob always thought it was necessary to XXXXX other people.,2151,NA,NA
40,bilk,"When Angela appeared, the rest of the girls tried to [bilk] her.","When Angela appeared, the rest of the girls tried to XXXXX her.",NA,NA,NA
41,bilk,I don't know anyone who would be interested in [bilking] them.,I don't know anyone who would be interested in XXXXX them.,NA,NA,NA
42,bilk,My friend and I had a conversation about what it means to [bilk] someone.,My friend and I had a conversation about what it means to XXXXX someone.,NA,NA,NA
43,bilk,The strange man disappeared before Amy noticed that she'd been [bilked].,The strange man disappeared before Amy noticed that she'd been XXXXX.,NA,NA,NA
44,bilk,Billy thought that he had been [bilked] into the agreement.,Billy thought that he had been XXXXX into the agreement.,NA,NA,NA
45,bilk,On the first day of school the boy liked to [bilk] other students.,On the first day of school the boy liked to XXXXX other students.,NA,NA,NA
46,bilk,I read about the person that was [bilked] in the newspaper last week.,I read about the person that was XXXXX in the newspaper last week.,2146,NA,NA
47,bilk,My friends warned me not to get [bilked] by my lawyer.,My friends warned me not to get XXXXX by my lawyer.,NA,NA,NA
48,bilk,"Becky was ambitious, and not above [bilking] people to get ahead.","Becky was ambitious, and not above XXXXX people to get ahead.",NA,NA,NA
49,bilk,Conner set up a fake business to [bilk] people into giving him money.,Conner set up a fake business to XXXXX people into giving him money.,2760,NA,NA
50,bilk,The criminal knew how to [bilk] people out of their money.,The criminal knew how to XXXXX people out of their money.,2140,NA,NA
51,bilk,It is unfair to [bilk] people out of their hard-earned cash.,It is unfair to XXXXX people out of their hard-earned cash.,2141,NA,NA
52,bilk,The sneaky boy [bilked] his sister into giving up her candy.,The sneaky boy XXXXX his sister into giving up her candy.,2145,NA,NA
53,bilk,Tom Sawyer [bilked] other boys into doing his work for him.,Tom Sawyer XXXXX other boys into doing his work for him.,2758,NA,NA
54,bilk,"Bill fell for the con, which [bilked] him out of his savings.","Bill fell for the con, which XXXXX him out of his savings.",NA,NA,NA
55,canny,"Every day, on my way to school I passed the [canny] shop keeper.","Every day, on my way to school I passed the XXXXX shop keeper.",NA,NA,NA
56,canny,Some people appear to be more [canny] than other people.,Some people appear to be more XXXXX than other people.,NA,NA,NA
57,canny,"I get the feeling that my new neighbor is [canny], but I'm not sure.","I get the feeling that my new neighbor is XXXXX, but I'm not sure.",2660,NA,NA
58,canny,The only new person in class was a [canny] young transfer student.,The only new person in class was a(n) XXXXX young transfer student.,NA,NA,NA
59,canny,We didn't realize that those guys could be so [canny].,We didn't realize that those guys could be so XXXXX.,NA,NA,NA
60,canny,The new boy in school had a [canny] look on his face.,The new boy in school had a(n) XXXXX look on his face.,NA,NA,NA
61,canny,"The trickster wore regular clothes to blend in, a [canny] move.","The trickster wore regular clothes to blend in, a(n) XXXXX move.",NA,NA,NA
62,canny,"When Jack wanted to get agreement, he had a [canny] means of persuasion.","When Jack wanted to get agreement, he had a(n) XXXXX means of persuasion.",4388,NA,NA
63,canny,Lawyers must be thoughtful and [canny] in order to succeed.,Lawyers must be thoughtful and XXXXX in order to succeed.,NA,NA,NA
64,canny,You must be careful if you want to be a [canny] investor.,You must be careful if you want to be a(n) XXXXX investor.,4389,NA,NA
65,canny,I didn't trust the new boy because he had a [canny] look.,I didn't trust the new boy because he had a(n) XXXXX look.,3105,NA,NA
66,canny,The girl won us over with her [canny] sense of what to say.,The girl won us over with her XXXXX sense of what to say.,NA,NA,NA
67,canny,Ben thought she was [canny] and only interested in winning.,Ben thought she was XXXXX and only interested in winning.,NA,NA,NA
68,canny,Victor realized she must be very [canny] to get away with the theft.,Victor realized she must be very XXXXX to get away with the theft.,NA,NA,NA
69,canny,I worried that John would trick me because he was very [canny].,I worried that John would trick me because he was very XXXXX.,2652,NA,NA
70,canny,"It is possible to be clever or [canny], without being selfish.","It is possible to be clever or XXXXX, without being selfish.",NA,NA,NA
71,canny,"To avoid getting caught, a thief must be very [canny].","To avoid getting caught, a thief must be very XXXXX.",NA,NA,NA
72,canny,We never guessed we'd been tricked because the magician was so [canny].,We never guessed we'd been tricked because the magician was so XXXXX.,3220,NA,NA
73,captious,I do not think that anyone in this group is very [captious].,I do not think that anyone in this group is very XXXXX.,2645,NA,NA
74,captious,The nurse who worked the night shift was more [captious] than the daytime nurse.,The nurse who worked the night shift was more XXXXX than the daytime nurse.,2646,NA,NA
75,captious,"After he completed the sale with the last customer, the [captious] salesperson left.","After he completed the sale with the last customer, the XXXXX salesperson left.",NA,NA,NA
76,captious,Ian didn't think that he had met many people who were that [captious].,Ian didn't think that he had met many people who were that XXXXX.,NA,NA,NA
77,captious,The person that we met with yesterday is somewhat [captious].,The person that we met with yesterday is somewhat XXXXX.,NA,NA,NA
78,captious,The photograph showed a boy with a [captious] look on his face.,The photograph showed a boy with a(n) XXXXX look on his face.,NA,NA,NA
79,captious,"I like Ross, even though some people thought he was [captious].","I like Ross, even though some people thought he was XXXXX.",NA,NA,NA
80,captious,"The librarian liked an orderly library, and she could be quite [captious].","The librarian liked an orderly library, and she could be quite XXXXX.",NA,NA,NA
81,captious,Penny didn't want to disappoint her father because he could get [captious].,Penny didn't want to disappoint her father because he could get XXXXX.,NA,NA,NA
82,captious,Lisa thought she had to be [captious] to get people working.,Lisa thought she had to be XXXXX to get people working.,3099,NA,NA
83,captious,"When our team lost, my father was [captious] for the next few hours.","When our team lost, my father was XXXXX for the next few hours.",NA,NA,NA
84,captious,She was so serious it was hard to tell if she was [captious] or shy.,She was so serious it was hard to tell if she was XXXXX or shy.,NA,NA,NA
85,captious,It's easier to make friends if you are friendly instead of [captious].,It's easier to make friends if you are friendly instead of XXXXX.,2639,NA,NA
86,captious,Her serious stare told us that she was a [captious] teacher.,Her serious stare told us that she was a(n) XXXXX teacher.,3096,NA,NA
87,captious,"When our father disciplines us, he is [captious], but fair.","When our father disciplines us, he is XXXXX, but fair.",NA,NA,NA
88,captious,Kids avoided the old man because he was [captious] and liked to scold them.,Kids avoided the old man because he was XXXXX and liked to scold them.,NA,NA,NA
89,captious,"The captain was always frowning, so we thought he was [captious].","The captain was always frowning, so we thought he was XXXXX.",NA,NA,NA
90,captious,Shawn was afraid of making the smallest error because his boss was so [captious].,Shawn was afraid of making the smallest error because his boss was so XXXXX.,NA,NA,NA
91,demure,I think my neighbor might be [demure] but I am not sure.,I think my neighbor might be XXXXX but I am not sure.,2679,NA,NA
92,demure,"We thought that Betty was becoming less [demure], but we were wrong.","We thought that Betty was becoming less XXXXX, but we were wrong.",2680,NA,NA
93,demure,The girl at the dance the other night was very [demure].,The girl at the dance the other night was very XXXXX.,NA,NA,NA
94,demure,Sometimes I appear to be more [demure] than I really am.,Sometimes I appear to be more XXXXX than I really am.,2683,NA,NA
95,demure,At school Dana was more [demure] than she was at home.,At school Dana was more XXXXX than she was at home.,NA,NA,NA
96,demure,Since last year my friend has become much less [demure].,Since last year my friend has become much less XXXXX.,NA,NA,NA
97,demure,"Tammy was generally quiet and polite, as well as [demure].","Tammy was generally quiet and polite, as well as XXXXX.",NA,NA,NA
98,demure,"Sally was generally outspoken, but tried to act more [demure] around boys.","Sally was generally outspoken, but tried to act more XXXXX around boys.",NA,NA,NA
99,demure,Tasha stopped wearing miniskirts and adopted a more [demure] look.,Tasha stopped wearing miniskirts and adopted a more XXXXX look.,NA,NA,NA
100,demure,"There is a time to be heard, instead of being silent and [demure].","There is a time to be heard, instead of being silent and XXXXX.",NA,NA,NA
101,demure,"These days, women no longer need to be [demure] to be appreciated.","These days, women no longer need to be XXXXX to be appreciated.",NA,NA,NA
102,demure,Some parents still raise their daughters to be [demure] and proper.,Some parents still raise their daughters to be XXXXX and proper.,NA,NA,NA
103,demure,Some men are less threatened by women who are [demure] rather than outgoing.,Some men are less threatened by women who are XXXXX rather than outgoing.,NA,NA,NA
104,demure,Tasha attempted to curtsy in an effort to be [demure].,Tasha attempted to curtsy in an effort to be XXXXX.,NA,NA,NA
105,demure,Some boys are more comfortable around girls who are [demure] instead of bold.,Some boys are more comfortable around girls who are XXXXX instead of bold.,NA,NA,NA
106,demure,"The girl was energetic and silly at home, but quiet and [demure] in class.","The girl was energetic and silly at home, but quiet and XXXXX in class.",NA,NA,NA
107,demure,In India girls were historically taught to be submissive and [demure].,In India girls were historically taught to be submissive and XXXXX.,NA,NA,NA
108,demure,"The opera singer wore a ladylike dress and [demure], elbow-length gloves.","The opera singer wore a ladylike dress and XXXXX, elbow-length gloves.",NA,NA,NA
109,din,The group did not choose that one because of all the [din].,The group did not choose that one because of all the XXXXX.,2597,NA,NA
110,din,Some people are more sensitive to [din] than other people.,Some people are more sensitive to XXXXX than other people.,2600,NA,NA
111,din,Sometimes there is greater [din] right before we sit down.,Sometimes there is greater XXXXX right before we sit down.,NA,NA,NA
112,din,When the rest of us left the building there was very little [din].,When the rest of us left the building there was very little XXXXX.,NA,NA,NA
113,din,After about an hour the [din] had all but disappeared.,After about an hour the XXXXX had all but disappeared.,NA,NA,NA
114,din,The novel was so interesting that I forgot about the [din].,The novel was so interesting that I forgot about the XXXXX.,NA,NA,NA
115,din,Sometimes I want to relax and get away from all the [din].,Sometimes I want to relax and get away from all the XXXXX.,NA,NA,NA
116,din,I enjoyed my flight to Paris except for all the [din] in the cabin.,I enjoyed my flight to Paris except for all the XXXXX in the cabin.,3075,NA,NA
117,din,The thief was able to sneak away amid the [din] from the party.,The thief was able to sneak away amid the XXXXX from the party.,NA,NA,NA
118,din,It's easy to be distracted by all the [din] around here.,It's easy to be distracted by all the XXXXX around here.,NA,NA,NA
119,din,We tried to continue our discussion amid the [din] of the crowd.,We tried to continue our discussion amid the XXXXX of the crowd.,NA,NA,NA
120,din,Cory finds it hard to concentrate with all the [din].,Cory finds it hard to concentrate with all the XXXXX.,NA,NA,NA
121,din,We covered our ears to block the loud [din] from the crowd.,We covered our ears to block the loud XXXXX from the crowd.,2591,NA,NA
122,din,She couldn't sleep because of the [din] upstairs.,She couldn't sleep because of the XXXXX upstairs.,2592,NA,NA
123,din,The jackhammer causes a greater [din] than any other tool.,The jackhammer causes a greater XXXXX than any other tool.,1090,NA,NA
124,din,A library should be free from [din] so people can read.,A library should be free from XXXXX so people can read.,2594,NA,NA
125,din,I closed the window to shut out the constant [din] of the traffic.,I closed the window to shut out the constant XXXXX of the traffic.,NA,NA,NA
126,din,The barks and howls of dogs created too much [din] for us to sleep.,The barks and howls of dogs created too much XXXXX for us to sleep.,NA,NA,NA
127,emaciated,We are trying to figure out why the boys are so [emaciated].,We are trying to figure out why the boys are so XXXXX.,2441,NA,NA
128,emaciated,Maria thought that her daughter seemed [emaciated] last week.,Maria thought that her daughter seemed XXXXX last week.,2442,NA,NA
129,emaciated,It should be easy to determine which one is more [emaciated].,It should be easy to determine which one is more XXXXX.,2443,NA,NA
130,emaciated,I did not know that Manny had become so [emaciated] while I was gone.,I did not know that Manny had become so XXXXX while I was gone.,2444,NA,NA
131,emaciated,Nobody had told me that Tom was so much more [emaciated] than before.,Nobody had told me that Tom was so much more XXXXX than before.,NA,NA,NA
132,emaciated,"We followed the instructions, which said to find the boy who was [emaciated].","We followed the instructions, which said to find the boy who was XXXXX.",NA,NA,NA
133,emaciated,The doctor was concerned because the girl looked [emaciated].,The doctor was concerned because the girl looked XXXXX.,NA,NA,NA
134,emaciated,"When we saw Tom, he seemed to be feeling better but was still [emaciated].","When we saw Tom, he seemed to be feeling better but was still XXXXX.",NA,NA,NA
135,emaciated,The doctor warned the woman she was too [emaciated] from a poor diet.,The doctor warned the woman she was too XXXXX from a poor diet.,2440,NA,NA
136,emaciated,"The girl looked surprisingly [emaciated], and we wondered if she had been sick.","The girl looked surprisingly XXXXX, and we wondered if she had been sick.",2946,NA,NA
137,emaciated,Some people think that they need to be [emaciated] in order to be attractive.,Some people think that they need to be XXXXX in order to be attractive.,NA,NA,NA
138,emaciated,"Megan dieted too much and rather than looking healthy, she looked [emaciated].","Megan dieted too much and rather than looking healthy, she looked XXXXX.",2945,NA,NA
139,emaciated,Homeless people are often [emaciated] because of their lack of food.,Homeless people are often XXXXX because of their lack of food.,2943,NA,NA
140,emaciated,"Wendy used to be fat, but after her illness she looked [emaciated].","Wendy used to be fat, but after her illness she looked XXXXX.",2947,NA,NA
141,emaciated,Sean ate lots of fatty foods to put some weight on his [emaciated] body.,Sean ate lots of fatty foods to put some weight on his XXXXX body.,2436,NA,NA
142,emaciated,People in poor countries are often [emaciated] because they do not eat often enough.,People in poor countries are often XXXXX because they do not eat often enough.,2944,NA,NA
143,emaciated,Professional models are sometimes so extremely thin that they look [emaciated].,Professional models are sometimes so extremely thin that they look XXXXX.,NA,NA,NA
144,emaciated,"It is better to be of average weight, as opposed to thin or even [emaciated].","It is better to be of average weight, as opposed to thin or even XXXXX.",NA,NA,NA
145,frigid,Most people do not like to be [frigid] in their own homes.,Most people do not like to be XXXXX in their own homes.,2726,NA,NA
146,frigid,I was surprised to find that it was so [frigid].,I was surprised to find that it was so XXXXX.,NA,NA,NA
147,frigid,"Although Mary had refused to believe it, there was no denying that it was very [frigid].","Although Mary had refused to believe it, there was no denying that it was very XXXXX.",NA,NA,NA
148,frigid,There's nothing we can do if it turns out to be [frigid].,There's nothing we can do if it turns out to be XXXXX.,3169,NA,NA
149,frigid,"We could not tell whether it was [frigid] or not, so we asked John.","We could not tell whether it was XXXXX or not, so we asked John.",NA,NA,NA
150,frigid,You'll find what you're looking for when it becomes more [frigid].,You'll find what you're looking for when it becomes more XXXXX.,3168,NA,NA
151,frigid,Martin took a drink and found that his coffee was [frigid].,Martin took a drink and found that his coffee was XXXXX.,2728,NA,NA
152,frigid,The [frigid] room made it hard to concentrate on our work.,The XXXXXroom made it hard to concentrate on our work.,NA,NA,NA
153,frigid,"It was a [frigid] afternoon, so he stayed in his office.","It was a(n) XXXXXafternoon, so he stayed in his office.",NA,NA,NA
154,frigid,"The place was too [frigid] for her, so she asked to leave.","The place was too XXXXX for her, so she asked to leave.",2721,NA,NA
155,frigid,We didn't need to know the temperature to tell that it was [frigid].,We didn't need to know the temperature to tell that it was XXXXX.,NA,NA,NA
156,frigid,"When Sarah came to visit, she observed that it was often [frigid].","When Sarah came to visit, she observed that it was often XXXXX.",2723,NA,NA
157,frigid,"When the weather is this [frigid], skiers are the only ones who celebrate.","When the weather is this XXXXX, skiers are the only ones who celebrate.",NA,NA,NA
158,frigid,We put on coats and mittens before we ventured out into the [frigid] temperatures.,We put on coats and mittens before we ventured out into the XXXXX temperatures.,NA,NA,NA
159,frigid,The winter breeze was too [frigid] for us to stay outside.,The winter breeze was too XXXXX for us to stay outside.,2733,NA,NA
160,frigid,Alaska is famous for its [frigid] temperatures and beautiful scenery.,Alaska is famous for its XXXXX temperatures and beautiful scenery.,2734,NA,NA
161,frigid,"The air conditioning was too high, and the room became [frigid].","The air conditioning was too high, and the room became XXXXX.",2736,NA,NA
162,frigid,The refrigerator was so [frigid] that the milk froze.,The refrigerator was so XXXXX that the milk froze.,2738,NA,NA
163,garish,"When Martin showed the new one to Tina, she thought it was [garish].","When Martin showed the new one to Tina, she thought it was XXXXX.",3147,NA,NA
164,garish,Inside the building there was one that was particularly [garish].,Inside the building there was one that was particularly XXXXX.,NA,NA,NA
165,garish,"The place had so many of them, it was [garish].","The place had so many of them, it was XXXXX.",3150,NA,NA
166,garish,Sarah decided to buy the one we thought was [garish].,Sarah decided to buy the one we thought was XXXXX.,3151,NA,NA
167,garish,We were surprised that the one she chose was not very [garish].,We were surprised that the one she chose was not very XXXXX.,NA,NA,NA
168,garish,Brian was the only one who thought that they were [garish].,Brian was the only one who thought that they were XXXXX.,NA,NA,NA
169,garish,Heather was ashamed of the dress because it was so [garish].,Heather was ashamed of the dress because it was so XXXXX.,2771,NA,NA
170,garish,"Cinderella had two very mean stepsisters, who wore [garish] jewels to flaunt their wealth.","Cinderella had two very mean stepsisters, who wore XXXXX jewels to flaunt their wealth.",2774,NA,NA
171,garish,I did not comment on the new wallpaper because I thought it was [garish].,I did not comment on the new wallpaper because I thought it was XXXXX.,3153,NA,NA
172,garish,"Kelly spent lots of money redecorating her house, but it was still [garish].","Kelly spent lots of money redecorating her house, but it was still XXXXX.",3155,NA,NA
173,garish,Rayna put on enough makeup to be noticed without being [garish].,Rayna put on enough makeup to be noticed without being XXXXX.,NA,NA,NA
174,garish,"An outfit that is too colorful, tight, or revealing can look [garish].","An outfit that is too colorful, tight, or revealing can look XXXXX.",NA,NA,NA
175,garish,"Grandma's old clock was so [garish], we hid it until she visited.","Grandma's old clock was so XXXXX, we hid it until she visited.",2769,NA,NA
176,garish,"The hat had so many bright colors and sequins that it was [garish], instead of elegant.","The hat had so many bright colors and sequins that it was XXXXX, instead of elegant.",NA,NA,NA
177,garish,"Some think that animal prints are pretty, but others think they're [garish].","Some think that animal prints are pretty, but others think they're XXXXX.",3154,NA,NA
178,garish,"Maria thought her fake jewels looked lovely, but her friends thought they were [garish].","Maria thought her fake jewels looked lovely, but her friends thought they were XXXXX.",NA,NA,NA
179,garish,"She accepted the engagement ring, although it was poorly crafted and [garish].","She accepted the engagement ring, although it was poorly crafted and XXXXX.",3177,NA,NA
180,garish,Makeup that is too thick or extreme can be [garish] instead of pretty.,Makeup that is too thick or extreme can be XXXXX instead of pretty.,NA,NA,NA
181,gramercy,I was surprised by her expression of [gramercy] last night.,I was surprised by her expression of XXXXX last night.,NA,NA,NA
182,gramercy,Clara did not think that [gramercy] would be an appropriate response.,Clara did not think that XXXXX would be an appropriate response.,NA,NA,NA
183,gramercy,"Chris was surprised, because he had not expected to receive any [gramercy].","Chris was surprised, because he had not expected to receive any XXXXX.",NA,NA,NA
184,gramercy,"After her classes, Susan found herself daydreaming about all the [gramercy].","After her classes, Susan found herself daydreaming about all the XXXXX.",NA,NA,NA
185,gramercy,Bob thought that the letter showed a distinct lack of [gramercy].,Bob thought that the letter showed a distinct lack of XXXXX.,NA,NA,NA
186,gramercy,There are lots of things you can do to convey [gramercy].,There are lots of things you can do to convey XXXXX.,NA,NA,NA
187,gramercy,"After hearing the good news, Chris responded with [gramercy].","After hearing the good news, Chris responded with XXXXX.",NA,NA,NA
188,gramercy,She wrote a letter expressing her [gramercy] to the company.,She wrote a letter expressing her XXXXX to the company.,2284,NA,NA
189,gramercy,"After the disaster, we expressed [gramercy] to the volunteers who helped rebuild the town.","After the disaster, we expressed XXXXX to the volunteers who helped rebuild the town.",NA,NA,NA
190,gramercy,"At the end of the school year, we put on a show to express our [gramercy].","At the end of the school year, we put on a show to express our XXXXX.",NA,NA,NA
191,gramercy,"Sometimes it is important to display [gramercy], even when it's hard.","Sometimes it is important to display XXXXX, even when it's hard.",NA,NA,NA
192,gramercy,We built the park in his name to show [gramercy] for all of his work.,We built the park in his name to show XXXXX for all of his work.,NA,NA,NA
193,gramercy,She hurt my feelings by failing to show [gramercy] for my gift.,She hurt my feelings by failing to show XXXXX for my gift.,NA,NA,NA
194,gramercy,The man saved my life and I wanted to show [gramercy] in return.,The man saved my life and I wanted to show XXXXX in return.,NA,NA,NA
195,gramercy,"My parents helped me, so I expressed my [gramercy] in my speech.","My parents helped me, so I expressed my XXXXX in my speech.",NA,NA,NA
196,gramercy,She felt relieved and expressed [gramercy] for the help of the volunteers.,She felt relieved and expressed XXXXX for the help of the volunteers.,NA,NA,NA
197,gramercy,"At Thanksgiving, we express [gramercy] for what we have.","At Thanksgiving, we express XXXXX for what we have.",NA,NA,NA
198,gramercy,"When someone does something nice for you, it's polite to express your [gramercy].","When someone does something nice for you, it's polite to express your XXXXX.",NA,NA,NA
199,insolence,"If you pay attention, sometimes you can observe [insolence] in others.","If you pay attention, sometimes you can observe XXXXX in others.",2346,NA,NA
200,insolence,People of all ages are capable of displaying [insolence].,People of all ages are capable of displaying XXXXX.,NA,NA,NA
201,insolence,It is easy to see when someone else is showing [insolence].,It is easy to see when someone else is showing XXXXX.,2349,NA,NA
202,insolence,They discussed whether or not to invite Nick after they observed his [insolence].,They discussed whether or not to invite Nick after they observed his XXXXX.,NA,NA,NA
203,insolence,The viewers agreed that John was the one with more [insolence].,The viewers agreed that John was the one with more XXXXX.,3198,NA,NA
204,insolence,The author decided to write about the consequences of [insolence].,The author decided to write about the consequences of XXXXX.,NA,NA,NA
205,insolence,"Rita constantly bragged, so nobody was surprised by her [insolence].","Rita constantly bragged, so nobody was surprised by her XXXXX.",NA,NA,NA
206,insolence,Actors are known for their difficult demands and their [insolence].,Actors are known for their difficult demands and their XXXXX.,2899,NA,NA
207,insolence,Nobody liked the winner because of her [insolence].,Nobody liked the winner because of her XXXXX.,NA,NA,NA
208,insolence,"Sarah thought she knew everything, but people saw through her [insolence].","Sarah thought she knew everything, but people saw through her XXXXX.",NA,NA,NA
209,insolence,"After Pat got the lead role in the play, her [insolence] got worse.","After Pat got the lead role in the play, her XXXXX got worse.",NA,NA,NA
210,insolence,Bob had a thin smile that suggested [insolence] rather than warmth.,Bob had a thin smile that suggested XXXXX rather than warmth.,NA,NA,NA
211,insolence,"Jack thought he was showing confidence, but Carol thought it was [insolence].","Jack thought he was showing confidence, but Carol thought it was XXXXX.",2898,NA,NA
212,insolence,"Josh thinks that no one else can do his job, which shows his [insolence].","Josh thinks that no one else can do his job, which shows his XXXXX.",NA,NA,NA
213,insolence,"Brad joked a lot, but some people mistook his humor for [insolence].","Brad joked a lot, but some people mistook his humor for XXXXX.",NA,NA,NA
214,insolence,Eric's friends got impatient with his [insolence] and boasting.,Eric's friends got impatient with his XXXXX and boasting.,2344,NA,NA
215,insolence,"When David got an 'A+' on the test, we could hardly take his [insolence].","When David got an 'A+' on the test, we could hardly take his XXXXX.",NA,NA,NA
216,insolence,Mike had few friends because of his [insolence] and aggression.,Mike had few friends because of his XXXXX and aggression.,NA,NA,NA
217,intrepid,His friends did not consider him to be a very [intrepid] man.,His friends did not consider him to be a very XXXXX man.,2297,NA,NA
218,intrepid,"After she left, people could not stop talking about her [intrepid] actions.","After she left, people could not stop talking about her XXXXX actions.",NA,NA,NA
219,intrepid,Most of the people who joined our group this year are [intrepid].,Most of the people who joined our group this year are XXXXX.,NA,NA,NA
220,intrepid,The speaker asked the audience to imagine an [intrepid] person.,The speaker asked the audience to imagine a(n) XXXXX person.,2300,NA,NA
221,intrepid,Her brother says she is the most [intrepid] person he knows.,Her brother says she is the most XXXXX person he knows.,2301,NA,NA
222,intrepid,"According to them, Curt is much more [intrepid] than Will.","According to them, Curt is much more XXXXX than Will.",NA,NA,NA
223,intrepid,Soldiers try to be [intrepid] when getting ready for battle.,Soldiers try to be XXXXX when getting ready for battle.,2292,NA,NA
224,intrepid,"The dog protected his owner from the wolf, so he must be [intrepid].","The dog protected his owner from the wolf, so he must be XXXXX.",NA,NA,NA
225,intrepid,The child would have drowned if it were not for the [intrepid] diver.,The child would have drowned if it were not for the XXXXX diver.,NA,NA,NA
226,intrepid,"He always seemed so [intrepid], it was strange to see his response to the mouse.","He always seemed so XXXXX, it was strange to see his response to the mouse.",2839,NA,NA
